variant,Year,Trt_code,Treatment,Date,dap,gdd_cum,z_root_m,canopy_cover_frac,biomass_t_ha,dry_yield_t_ha,Es_mm,Tr_mm,DeepPerc_mm,IrrDay_mm,SWD_AquaCrop_mm,Canopy_obs
default_maize,2013,11,50/50,2013-08-15,93.0,1111.578,1.5314352799203204,0.9008396639386691,1840.3346104670106,2.903668601720964,0.23077032733647718,4.1899131884685605,0.0,0.0,40.0069972052495,81.75
default_maize,2013,11,50/50,2013-08-20,98.0,1176.4379999999996,1.587636006026893,0.9008396639386691,1992.254946621538,4.070590225662625,0.007892611505123503,4.817998364017741,0.0,0.0,63.21978056281919,80.42
default_maize,2013,11,50/50,2013-08-22,100.0,1205.9279999999994,1.6099237923612513,0.9008396639386691,2052.4044454627397,4.575631655900687,0.18863579511265216,3.498892943961816,0.0,0.0,47.74520431072676,84.92999999999999
default_maize,2013,11,50/50,2013-08-29,107.0,1305.1229999999996,1.6871147766950139,0.9008396639386691,2260.143831114203,6.511829671728767,0.27301229489833395,4.959624118912291,0.0,0.0,65.47759428762507,79.185
default_maize,2013,11,50/50,2013-09-04,113.0,1390.6479999999997,1.6980425700601203,0.8534636510552821,2427.087946398866,8.348874681626416,0.015893055236835756,3.3374991049543783,0.0,0.0,75.89885943944208,76.125
default_maize,2013,11,50/50,2013-09-20,129.0,1566.9734999999998,1.6980425700601203,0.3176391233413104,2679.5078490308383,12.960271337668724,0.8658969736595076,0.24875646518350863,0.0,0.0,26.960734399467864,33.5375
default_maize,2013,12,40/40,2013-06-18,35.0,349.193,0.8073556073605817,0.4114765298681972,142.8105206752209,0.0,0.25298855676837245,3.8364427209370966,0.0007510959566497203,0.0,22.368017378134077,18.6975
default_maize,2013,12,40/40,2013-06-25,42.0,445.30299999999994,0.9055384139650032,0.7626422761648902,334.11842603901135,0.0,0.03101240111008075,5.900784017976006,3.5726700755053427e-11,0.0,47.496280111738635,34.9675
default_maize,2013,12,40/40,2013-06-27,44.0,474.05299999999994,0.932816796307215,0.7974519380363823,397.46927560239646,0.0,0.030655582821293072,7.989836422055555,2.578619933937644e-13,0.0,62.142009355213276,28.765
default_maize,2013,12,40/40,2013-07-02,49.0,540.3679999999999,0.9997138505472563,0.844941976483841,558.3544868272754,0.0,0.5787923844155695,6.195427650917033,0.0,0.0,82.38890488032074,44.7225
