variant,Year,Trt_code,Date,z_model,z_USDA,SWD_modelroot,SWD_USDAroot,Canopy_AC,Es,Tr
effective100,2012,5,2012-07-02,0.29830604085138746,,12.300815096384373,,8.331917332112345,4.269581978713298,1.10847436080406
effective100,2012,5,2012-07-03,0.30654488063218277,0.92,14.637331099061077,114.66620573345354,8.904705402645847,1.3587067995603797,0.8895582364874424
effective100,2012,5,2012-07-04,0.3147531102779041,,-4.4768944079193895,,10.482422785045053,6.503358635211561,1.25708421794931
effective100,2012,5,2012-07-05,0.32293132674529146,0.94,3.6512818840548373,105.81753772530912,12.339676887208737,5.041605805302427,1.3446461266004457
effective100,2012,5,2012-07-06,0.331080106218694,,6.179738217152277,,14.502926259666188,5.47015682509718,1.5382970966142069
effective100,2012,5,2012-07-07,0.33920000514087023,,-13.981364895847504,,16.511793834674666,3.6541150289713027,1.1994356177222403
effective100,2012,5,2012-07-08,0.3472915611778137,,-5.585972417272362,,18.080632319007854,2.736875721435759,0.9779205560123306
effective100,2012,5,2012-07-09,0.35535529412274924,,3.446732744988334,,19.13037953847507,3.2907150248135424,1.7096954733970349
effective100,2012,5,2012-07-10,0.36339170674396903,0.97,8.2621442751063,102.55814369910848,19.13037953847507,1.729149253507925,1.962229112042299
effective100,2012,5,2012-07-11,0.371401285580763,,11.330544883571928,,19.13037953847507,0.8957489832557988,1.868111394233451
effective100,2012,5,2012-07-12,0.3793845016913143,0.98,13.979211823570326,109.87410568185072,19.13037953847507,0.6688643295973803,1.9309186722596685
effective100,2012,5,2012-07-13,0.3873418113560937,,-17.039577408835314,,19.13037953847507,4.932516009702095,1.9353849442673514
effective100,2012,5,2012-07-14,0.39527365673998294,,0.12967493022879195,,19.13037953847507,5.694693813504283,2.3182913904934734
effective100,2012,5,2012-07-15,0.403180466516078,,7.924614071485106,,19.13037953847507,1.8726222146367921,2.051823187845407
effective100,2012,5,2012-07-16,0.41106265645387874,,9.675757345676171,,19.13037953847507,5.185856778536913,2.031422986934253
effective100,2012,5,2012-07-17,0.41892062997434587,1.005,14.74210432963789,101.67975296091909,19.13037953847507,3.0096841783993558,1.8885552662586227
effective100,2012,5,2012-07-18,0.42675477867410005,,-3.2514849104561465,,19.13037953847507,5.291036450386545,2.0703348607675016
